Date,Price,Close,Headlines
2018-03-08,"7,203.24",1.390627,"Finance has a shocking gender pay gap. Shining a light on it is just the start Music industry is still a boys' club, says Beyoncé songwriter Consumer champions  Virgin Trains’ ‘automatic refund’ is way off track John Lewis cuts staff bonus as profit falls 77% Record Store Day: why vinyl gimmicks alone won't save local shops Hardworking Britain  


  For the Tories, eliminating the deficit was just a pretext to slash the state Chancellor's spring statement to reveal £11bn boost – analysts European clocks lose six minutes after dispute saps power from electricity grid Ex-Uber CEO Travis Kalanick reveals new project: a 'job creation' fund Grogonomics  


  Australia isn't in recession – but we might as well be Energy drinks: MPs investigate popularity among young people Next facing £30m equal pay claim from shop-floor staff Trump tariffs: Canada and Mexico may be exempt from plan, White House says Business live  Europe threatens tariffs on US peanut butter and orange juice as trade war looms - as it happened Worsening life expectancy drives Legal & General profit rise Nils Pratley on finance  


  Ofgem's muscular image jolted by an obstinate 'no' New Look considers shutting 60 UK stores – 1,000 jobs at risk Airbus production cuts put 3,700 jobs at risk Fracking delayed at North Yorkshire site until autumn EU: We will retaliate to protection with tariffs on US imports"
2018-03-07,"7,157.84",1.390009,"The Guardian view on EU attitudes to Brexit: the UK is running a goodwill deficit Shortcuts  Right plaice, right time: the fish bar that netted £20K for a Gucci shoot with Harry Styles Politics live with Andrew Sparrow  Brexit: Hammond says UK would reject any trade deal not including financial services - Politics live Hammond: UK could reject any Brexit deal excluding financial services Caring for a suicidal loved one Ofgem seeks tougher price controls on energy firms Another oil firm seeks sweeping injunction against UK protesters House price growth at lowest level for five years My best shot  Yto Barrada's best photograph: the prawn factory where women can't talk Wolf of Wall Street producers to pay $60m to US government Carillion bosses prioritised pay over company affairs, MPs hear Coca-Cola to launch its first alcoholic drink West Virginia teachers' triumph offers fresh hope for US workers' rights Who can save the post-Brexit economy? Black professors Donald Trump's top economic adviser Gary Cohn quits 'We said it wasn't acceptable': how Bristol is standing up to developers Galeries Lafayette heir joins French tycoons in opening art foundation Business made simple  Women Who founder Otegha Uwagba: 'I've been treated differently. Being outspoken, you get that' Weinstein Company buyers pull out after much more debt found Your problems, with Anna Tims  Why did easyJet insist on a needless visa? Scan and go: Co-op shoppers to avoid tills with phone app Advertising watchdog cracks down on ticket resale websites RBS to pay New York $500m for deceptions ahead of 2008 crash Brexit deal: Hammond says financial services will not be frozen out Business live  Korean summit plans cheer markets as Paul Ryan calls for 'surgical' tariffs - as it happened Elizabeth Warren attacks 'dangerous, wrong' bill to relax rules on US banks Government to review law before self-driving cars arrive on UK roads Australia and Timor-Leste to sign deal on contentious gasfield F1 tycoon Vijay Mallya’s superyacht impounded over wage dispute Debenhams to rent flagship store space to hot deskers Rage against the machine: self-driving cars attacked by angry Californians Nils Pratley on finance  


  Why did it take the FCA four years to ban Paul Flowers? Dyson announces cordless future with end of plug-in vacuums Developing a new way of creating more homes Melrose's £7bn bid for GKN poses threat to UK security, MPs told Shortcuts  Inequality at 30,000 feet: is aviation the least progressive industry? Freezing weather melts sales at John Lewis Donald Trump’s wealth has fallen for second year running – Forbes Brewdog's pink 'beer for girls' criticised as marketing stunt US investigation into BAE Saudi arms deal watered down, leaked memo suggests"
2018-03-06,"7,146.75",1.385233,"Lego reports first sales fall in 13 years, saying 'there is no quick fix' Sainsbury's increases staff pay – but axes paid breaks and bonuses City watchdog bans ex-Co-op bank boss for sending emails about sex and drugs Just Eat sees £600m wiped off stock market value after surprise loss Thousands of UK homes without water as thaw continues How Manchester developers dodge affordable housing Shorten drops threat against Adani licence but still 'does not support' mine Higher food prices sap British consumer spending How to prevent a Brexit food crisis? Dig deep for fair pay on farms Top Republican Paul Ryan splits with Trump over trade tariffs Business live  WTO and top Republican urge Donald Trump not to launch trade war - as it happened UK airlines urgently need transition deal, warns Philip Hammond Couple who faked holiday sickness ‘rumbled’ on Facebook Jaguar Land Rover and Cadbury shut plants so water firm can fix burst pipes Trevor Baylis obituary Global alarm bells sound over full-blown trade war A perfect economic storm made Italy ripe for a protest vote Trevor Baylis, inventor of the wind-up radio, dies aged 80 The sad inevitability of energy price rises Brief letters  More recognition for Roger Bannister"
2018-03-05,"7,115.98",1.379501,"Airbus may leave UK unless there is urgent clarity on Brexit trade Nils Pratley on finance  


  Sky, as owner, needs to end near-silence over Team Sky allegations Monsanto says its pesticides are safe. Now, a court wants to see the proof Ethical fashion is order of the day for Stella McCartney in Paris Project Syndicate economists  


  Bitcoin is based on the blockchain pipe dream Disused shops could be used to tackle housing crisis, says May In a laver: seaweed shuts nuclear reactor again in bad weather Trinity Mirror to rebrand as Reach after Express and Star deal Diesel slide continues as UK car sales fall for 11th month running UK manufacturers on course to outpace GDP growth, survey finds Eliminate the deficit? Eliminate economic hope, more like Energy watchdog to ban back-billing by utility firms Abolish income tax bands to give earners £1,100 – IPPR Business must speak up, and save Britain from Brexit Housing crisis: 15,000 new Manchester homes and not a single one 'affordable' Jubilee Debt Campaign seeks £40bn write-off of consumer borrowing One in three of UK's top 100 restaurant groups are lossmaking – study Target wealthy baby boomers, says Tory peer May attacks 'perverse incentive' of housing industry bonuses Government let slip chance to retrieve £364m from Carillion"
2018-03-02,"7,069.90",1.377543,"Weinstein company avoids bankruptcy in 11th-hour $500m deal How America's clean coal dream unravelled Bosses at world's most ambitious clean coal plant kept problems secret for years First sustainable Lego pieces to go on sale British governments used to cough up for social housing. Not this one Break the cycle  Will corporate backlash against guns actually change anything? 'I was terrified I was going to be a flash in the pan': the people who made Oscars history Steel and aluminum tariffs trigger sharp stock market sell-off in US and Asia Richest UK households 'should pay more to fund clean energy' Carillion directors dismissed plan to secure £218m for pension scheme Private equity firms among bidders for Network Rail property business Break the cycle  CEO of gunmaker that produced Florida shooter's weapon: 'I share nation's grief' New Look seeks 60% store rent reduction to tackle £1.2bn debt Antidepressants work – and we are the proof Labour’s commitment to the Co-operative cause Business live  US unemployment claims hit 48-year low as factory growth surges - as it happened 13 Picasso works bought for £113m by one London buyer UK manufacturing growth drops to eight-month low UK running out of gas, warns National Grid Carpetright warns of annual loss amid UK consumer spending squeeze"
2018-03-01,"7,175.64",1.375421,"UK house prices fall as incomes squeeze in slowing economy We’re still married to the car – even though we don’t love it any more Shockwaves in Paris as Riccardo Tisci named new Burberry designer Martin Sorrell's WPP reports worst year for growth since 2009 Sky subscribers to get Netflix for the first time Carillion chair planned ‘upbeat’ message before £845m writedown Nils Pratley on finance  


  Carillion's upbeat strategy? Shoot the messenger UK car industry must be at the heart of Brexit negotiations, say MPs Google's 'bro-culture' meant routine sexual harassment of women, suit says Editors of Daily Express and Daily Star quit in wake of £200m takeover Spotify files to go public with $1bn US SEC listing Wholesale gas prices more than double as freeze drives demand Unilever chief's pay package rises 51% to £10.3m Scottish government to launch national investment bank Prezzo restaurant chain to close a third of its UK branches Business live  Thousands of jobs at risk as Maplin and Toys R Us fall into administration - as it happened Politicised students are a nightmare for the government – any ​attempt to neutralise them is doomed A visit to Toys R Us or Maplin shows why they are doomed Brief letters  Two wheels bad. Four wheels good Adani asked Coalition to help secure funding from China, FoI shows"
2018-02-28,"7,231.91",1.390608,"‘I’m beyond anger’ – why the great pay gap reveal is an explosive moment for gender equality Break the cycle  Walmart and Dick's Sporting Goods put new limits on gun sales Toys R Us and Maplin: what are consumers' rights? Bank of America hiring brand safety officer to 'clean up' online ads Toyota to build new-generation Auris car in Derbyshire What compensation can you claim for weather disruption? ITV profits hit by steep fall in TV advertising Consumer champions  Ecotricity gave away our promised John Lewis voucher Toys R Us and Maplin fall into administration putting 5,500 UK jobs at risk It’s futile to think firms like Carillion can be trusted to run public services Foxtons profits plunge over London housing market slump Business made simple  Work the room: a psychologist's tips for the reluctant networker Profit-hungry firms are gambling on social care. Are the stakes too high? Carillion bosses were fantasists chasing pot of gold, MPs say First plastic-free aisle is an example for other supermarkets to follow The upside  After the 'sunrush': what comes next for solar power? Gun company investors push for change after Florida school shooting The Guardian UK: Politics Weekly  The Alternatives: German town takes power back from energy giants – podcast 5,500 jobs at risk as Toys R Us and Maplin face administration Nils Pratley on finance  


  Comcast's cute timing has tangled Rupert Murdoch's Sky plans"
2018-02-27,"7,282.45",1.396648,"Undercover in the chicken industry  Chief of 2 Sisters Food steps down after meat factory scandal Northamptonshire adult care services 'on verge of being unsafe' The Guardian view on public transport: end austerity, trust the state Sheffield residents worry about effects of austerity, not trees Business live  Sky takeover: bidding war predicted as Comcast makes £22bn offer - as it happened Get ready for more energy price rises, warn industry analysts Federal Reserve chairman tells Congress US economy 'remains strong' German court rules cities can ban diesel cars to tackle pollution Project Syndicate economists  


  Hawk or dove? Bitcoin is forcing central banks to take sides Beat an interest rate rise by locking into a new mortgage now Struggling credit card holders could save £1.3bn under new rules Alpha male culture helped cause financial crash in UK, MPs told A 'latte levy' isn't nearly enough – Starbucks must do more What does Comcast's Sky offer mean for Murdoch – and Disney? Lack of models, not charging points, 'holding back electric car market' Shortcuts  Can hemlines and divorce rates really predict a recession? Nils Pratley on finance  


  May's energy price cap is messy – heaven help the regulator MPs concerned by 'rebranding' of RBS restructuring division Apple to launch 'technology enabled' healthcare service Labor prepared to revoke Adani coalmine licence if elected, says Cousins Comcast challenges Murdoch with £22bn bid for Sky The long read  Is the British establishment finally finished? CO2 emissions from average UK new car rise for first time since 2000 Whistleblower warned Carillion bosses about irregularities, MPs told Nicky Morgan calls for clarity on Brexit transition period Grogonomics  


  Low wage growth remains a problem affecting all levels of employment Trump Organization says it gave back foreign government profits, but offers few details Martin Shkreli responsible for $10.5m in securities scheme losses, judge rules Plans to cap domestic energy bills 'weak and confused', says watchdog Step aside, Johnnie! Jane Walker whisky to celebrate women Business live  UK mortgage approvals rise, as interest rate hints drive pound up - as it happened Energy storage leap could slash electric car charging times Guardian Opinion cartoon  Martin Rowson on Jeremy Corbyn's Brexit speech – cartoon Marie Claire publisher Time Inc UK sold to private equity group EU finance head: we will regulate bitcoin if risks are not tackled Brexit explained  Where has Liam Fox travelled as trade secretary? Overall UK happiness levels given English boost, ONS says UK mortgage lending rises but banks warn on 'sluggish' economy The disruptors  Not On The High Street founder: 'Small firms don't have to copy big business' GKN faces renewed fight with 'asset stripper' Melrose"
2018-02-26,"7,289.58",1.396804,"Government urged to give those with debt problems a year's grace Weinstein film studio expected to file for bankruptcy Gig economy? Pizza Express dishes up live music to beat restaurant blues Households could save £100 a year as energy price cap moves closer Economics viewpoint  


  Generational battle lines harden over pensions Starbucks trials 5p takeaway cup charge in attempt to cut waste Interest rate rise of 1% would cost average UK homeowner £930 a year The briefing  Fracking – the reality, the risks and what the future holds Time to spend your old tenners – just three shopping days left UK's small abattoirs struggle as profit margins are squeezed Vote Leave donations raise further concern over Melrose's GKN bid Ex-Carillion CFO sold £800,000 in shares after retirement Southern Rail users miss flights after bottleneck at station Ireland pushes for UK TV channels to make post-Brexit move The Guardian view on the common good: more Hobbes than Calvin Cooperation and creativity in the NHS Sewing machinists’ strike at Ford was not about equal pay Philip Green asked HSBC to help find Arcadia buyer, leak claims Newsquest targets Archant as newspaper consolidation gathers pace Colombia: no guns, no drugs, no atrocities, no rape, no murder. Just bananas…"
2018-02-23,"7,244.41",1.395303,"Can this man save our high streets? Big six energy companies routinely overcharging customers – exclusive RBS posts its first profit in 10 years Why we are sceptical of antidepressant analysis Heathrow: budget row threatens to further delay third runway Chinese government takes over troubled insurance giant Anbang Business live  RBS shares drop 4% on fears of heavy US fines - as it happened Transforming leadership  How extroverts are taking the top jobs - and what introverts can do about it Transforming leadership  Worker-owned businesses: 'We get paid the same regardless of role' 'Here we don't have to hide our ambition': the rise of the women-only workspace Monsanto demands Avaaz hands over all of its campaign data Meet the British CEO of the firm behind the gun that brought tragedy to Florida Business made simple  Total recall: eight ways to boost your memory power at work Persimmon slashes boss's bonus … to just £75m Guardian Brexit watch  


  'You don't raise interest rates when unemployment rises' – experts debate Brexit watch data Nils Pratley on finance  


  British Gas owner feels the heat but pays a dividend yet again Wine and dine democracy is now on trial – and about time Woolworths first-half profit soars 38% to $969m Treasury targets Facebook and Google with 'fair' tax system Studio 144: why has Southampton hidden its £30m culture palace behind a Nando's?"
2018-02-22,"7,252.39",1.391014,"Westminster council hospitality revelations raise further questions Business live  UK economy lags behind G7 rivals as growth revised down - as it happened Barclays reveals big gender pay gaps across UK banking group Eurostar's direct London-Amsterdam tickets on sale after IT hold-up Novartis bribery claims: Greek MPs vote to investigate top politicians KFC struggles to give chicken away as store supply crisis continues Guardian Brexit watch  The Brexit economy: things are starting to deteriorate Guardian Brexit watch  How has the Brexit vote affected the economy? February verdict Earliest ever British strawberries arrive on supermarket shelves UK economic growth slows to weakest rate in five years Ex-Carillion director viewed pension fund as 'waste of money' EU27 rule out UK's preferred approach to future trade deal Is this the worst leasehold block in Britain? Barclays reports £1.9bn loss amid Trump tax changes British Gas owner to cut 4,000 jobs blaming price cap and competition Book of the day  Skin in the Game by Nassim Nicholas Taleb review – how risk should be shared Your problems, with Anna Tims  Play-it-safe banks ‘de-risk’ and freeze out customers MPs launch inquiry into digital currencies amid cybercrime fears Poorer Britons face three years of income stagnation, says report The casual dining crunch: why are Jamie’s Italian, Strada, Byron (and the rest) all struggling? Why is no one exposing our failing firms in advance? German court delays ruling on city bans for heavily polluting diesel cars Fortescue Metals Group's new CEO earns $500,000 less than predecessor Grogonomics  


  The IMF doesn’t share the government’s heroic growth prediction Adani abandons March deadline to secure funding for Carmichael coalmine Carillion was in trouble by mid-2016, says whistleblower Adani mining giant facing renewed claims of $600m fraud in India Metro bank files first annual profit amid lending growth Top Ford executive fired over behavior 'inconsistent' with company code Brexit will knock 5% off wage growth, says Mark Carney Newsweek plunged into chaos by its own reporters' exposé Ousted Weinstein Company executive David Glasser plans to sue for $85m Supreme court narrows protections for whistleblowers GKN takeover bid to be scrutinised by MPs MPs approve new FCA chair despite tax avoidance admission Combat air strategy to review future UK defence capability Business live  Bank of England governor says Brexit has made us poorer - as it happened Solving the solvable  


  Young entrepreneurs don't need the additional gamble of Brexit Lloyds to hand £3bn to shareholders as profits jump 24% to £5.3bn 94% of women in Hollywood experience sexual harassment or assault, says survey"
