,Date,FTSE,NASDAQ,HANG,SP500,DAX
130,16/06/2022,7044.98,10646.1,20845.43,3666.77,13038.49
131,15/06/2022,7273.41,11099.16,21308.21,3789.99,13485.29
132,14/06/2022,7187.46,10828.34,21067.99,3735.48,13304.39
133,13/06/2022,7205.81,10809.22,21067.58,3749.63,13427.03
134,10/06/2022,7317.52,11340.02,21806.18,3900.86,13761.83
135,09/06/2022,7476.21,11754.23,21869.05,4017.82,14198.8
136,08/06/2022,7593.0,12086.27,22014.59,4115.77,14445.99
137,07/06/2022,7598.93,12175.23,21531.67,4160.68,14556.62
138,06/06/2022,7608.22,12061.37,21653.9,4121.43,14653.81
139,01/06/2022,7532.95,11994.46,21294.94,4101.23,14340.47
140,31/05/2022,7607.66,12081.39,21415.2,4132.15,14388.35
141,27/05/2022,7585.46,12131.13,20697.36,4158.24,14462.19
142,26/05/2022,7564.92,11740.65,20116.2,4057.84,14231.29
143,25/05/2022,7522.75,11434.74,20171.27,3978.73,14007.93
144,24/05/2022,7484.35,11264.45,20112.1,3941.48,13919.75
145,23/05/2022,7513.44,11535.28,20470.06,3973.75,14175.4
146,20/05/2022,7389.98,11354.62,20717.24,3901.36,13981.91
147,19/05/2022,7302.74,11388.5,20120.68,3900.79,13882.3
148,18/05/2022,7438.09,11418.15,20644.28,3923.68,14007.76
149,17/05/2022,7518.35,11984.52,20602.52,4088.85,14185.94
150,16/05/2022,7464.8,11662.79,19950.21,4008.01,13964.38
151,13/05/2022,7418.15,11805.0,19898.77,4023.89,14027.93
152,12/05/2022,7233.34,11370.96,19380.34,3930.08,13739.64
153,11/05/2022,7347.66,11364.24,19824.57,3935.18,13828.64
154,10/05/2022,7243.22,11737.67,19633.69,4001.05,13534.74
155,06/05/2022,7387.94,12144.66,20001.96,4123.34,13674.29
156,05/05/2022,7503.27,12317.69,20793.4,4152.38,13902.52
157,04/05/2022,7493.45,12964.86,20869.52,4300.17,13970.82
158,03/05/2022,7561.33,12563.76,21101.89,4175.48,14039.47
159,29/04/2022,7544.55,12334.64,21089.39,4131.93,14097.88
160,28/04/2022,7509.19,12871.53,20276.17,4287.5,13979.84
161,27/04/2022,7425.61,12488.93,19946.36,4183.96,13793.94
162,26/04/2022,7386.19,12490.74,19934.71,4175.2,13756.4
163,25/04/2022,7380.54,13004.85,19869.34,4296.12,13924.17
164,22/04/2022,7521.68,12839.29,20638.52,4271.78,14142.09
165,21/04/2022,7627.95,13174.65,20682.22,4393.66,14502.41
166,20/04/2022,7629.22,13453.07,20944.67,4459.45,14362.03
167,19/04/2022,7601.28,13619.66,21027.76,4462.21,14153.46
168,14/04/2022,7616.38,13351.08,21518.08,4392.59,14163.85
169,13/04/2022,7580.8,13643.59,21374.37,4446.59,14076.44
170,12/04/2022,7576.66,13371.57,21319.13,4397.45,14124.95
171,11/04/2022,7618.31,13411.96,21208.3,4412.53,14192.78
172,08/04/2022,7669.56,13711.0,21872.01,4488.28,14283.67
173,07/04/2022,7551.81,13897.3,21808.98,4500.21,14078.15
174,06/04/2022,7587.7,13888.82,22080.52,4481.15,14151.69
175,04/04/2022,7558.92,14532.55,22502.31,4582.64,14518.16
176,01/04/2022,7537.9,14261.5,22039.55,4545.86,14446.48
177,31/03/2022,7515.68,14220.52,21996.85,4530.41,14414.75
178,30/03/2022,7578.75,14442.28,22232.03,4602.45,14606.05
179,29/03/2022,7537.25,14619.64,21927.63,4631.6,14820.33
180,28/03/2022,7473.14,14354.9,21684.97,4575.52,14417.37
181,25/03/2022,7483.35,14169.3,21404.88,4543.04,14305.76
182,24/03/2022,7467.38,14191.84,21945.95,4520.16,14273.79
183,23/03/2022,7460.63,13922.6,22154.08,4456.23,14283.65
184,22/03/2022,7476.72,14108.82,21889.28,4511.61,14473.2
185,21/03/2022,7442.39,13838.46,21221.34,4461.18,14326.97
186,18/03/2022,7404.73,13893.84,21412.4,4463.09,14413.09
187,17/03/2022,7385.34,13614.78,21501.23,4411.67,14388.06
188,16/03/2022,7291.68,13436.55,20087.5,4357.95,14440.74
189,15/03/2022,7175.7,12948.62,18415.08,4262.45,13917.27
190,14/03/2022,7193.47,12581.22,19531.66,4173.11,13929.11
191,11/03/2022,7155.64,12843.81,20553.79,4204.31,13628.11
192,10/03/2022,7099.09,13129.96,20890.26,4259.52,13442.1
193,09/03/2022,7190.72,13255.55,20627.71,4277.88,13847.93
194,08/03/2022,6964.11,12795.55,20765.87,4170.62,12831.51
195,07/03/2022,6959.48,12830.96,21057.63,4201.09,12834.65
196,04/03/2022,6987.14,13313.44,21905.29,4328.87,13094.54
197,03/03/2022,7238.85,13537.94,22467.34,4363.49,13698.4
198,02/03/2022,7429.56,13752.02,22343.92,4386.54,14000.11
199,01/03/2022,7330.2,13532.46,22761.71,4306.26,13904.85
200,28/02/2022,7458.25,13751.4,22713.02,4373.79,14461.02
201,25/02/2022,7489.46,13694.62,22767.18,4384.62,14567.23
202,24/02/2022,7207.38,13473.58,22901.56,4288.7,14052.1
203,23/02/2022,7498.18,13037.49,23660.28,4225.5,14631.36
204,22/02/2022,7494.21,13381.52,23520.0,4304.74,14693.0
205,18/02/2022,7513.62,13548.07,24327.71,4348.87,15042.51
206,17/02/2022,7537.37,13716.72,24792.77,4380.26,15267.63
207,16/02/2022,7603.78,14124.09,24718.9,4475.01,15370.3
208,15/02/2022,7608.92,14139.76,24355.71,4471.07,15412.71
209,14/02/2022,7531.59,13790.92,24556.57,4401.67,15113.97
210,11/02/2022,7661.02,13791.15,24906.66,4418.64,15425.12
211,10/02/2022,7672.4,14185.64,24924.35,4504.06,15490.44
